
elapsed_time_ms,position_rad,velocity_rad_per_sec,
25,0.0076699,0.191748,
26,0.0076699,0.186954,
27,0.0076699,0.18228,
28,0.0076699,0.177723,
30,0.0076699,0.17328,
30,0.0076699,0.168948,
31,0,-0.0270233,
32,0,-0.0263477,
33,0,-0.0256891,
34,0,-0.0250468,
35,0,-0.0244207,
36,0,-0.0238101,
37,0,-0.0232149,
38,0,-0.0226345,
39,0,-0.0220687,
40,0,-0.0215169,
41,0,-0.020979,
42,0,-0.0204545,
43,0,-0.0199432,
44,0,-0.0194446,
45,0,-0.0189585,
47,0,-0.0184845,
47,0,-0.0180224,
48,0,-0.0175718,
49,0,-0.0171325,
50,0,-0.0167042,
51,0,-0.0162866,
52,0,-0.0158795,
53,0,-0.0154825,
54,0,-0.0150954,
55,0,-0.014718,
56,0,-0.0143501,
57,0,-0.0139913,
58,0,-0.0136415,
59,0,-0.0133005,
61,0,-0.012968,
61,0,-0.0126438,
62,0,-0.0123277,
63,0,-0.0120195,
64,0,-0.011719,
65,0,-0.011426,
66,0,-0.0111404,
67,0,-0.0108619,
68,0,-0.0105903,
69,0,-0.0103256,
70,0,-0.0100674,
71,0,-0.00981575,
72,0,-0.00957036,
73,0,-0.0093311,
75,0,-0.00909782,
75,0,-0.00887038,
76,0,-0.00864862,
77,0,-0.0084324,
78,0,-0.00822159,
79,0,-0.00801605,
80,0,-0.00781565,
81,0,-0.00762026,
82,0,-0.00742975,
83,0,-0.00724401,
84,0,-0.00706291,
85,0,-0.00688633,
86,0,-0.00671418,
87,0,-0.00654632,
88,0,-0.00638266,
89,0,-0.0062231,
90,0,-0.00606752,
91,0,-0.00591583,
92,0,-0.00576794,
93,0,-0.00562374,
94,0,-0.00548314,
95,0,-0.00534607,
96,0,-0.00521241,
97,0,-0.0050821,
98,0,-0.00495505,
99,0,-0.00483117,
100,0,-0.0047104,
101,0,-0.00459264,
102,0,-0.00447782,
103,0,-0.00436587,
104,0,-0.00425673,
105,0,-0.00415031,
106,0,-0.00404655,
107,0,-0.00394539,
108,0,-0.00384675,
109,0,-0.00375058,
110,0,-0.00365682,
111,0,-0.0035654,
112,0,-0.00347626,
113,0,-0.00338936,
114,0,-0.00330462,
115,0,-0.00322201,
116,0,-0.00314146,
117,0,-0.00306292,
118,0,-0.00298635,
119,0,-0.00291169,
120,0,-0.0028389,
121,0,-0.00276793,
122,0,-0.00269873,
123,0,-0.00263126,
124,0,-0.00256548,
125,0,-0.00250134,
126,0,-0.00243881,
127,0,-0.00237784,
128,0,-0.00231839,
129,0,-0.00226043,
130,0,-0.00220392,
131,0,-0.00214882,
132,0,-0.0020951,
133,0,-0.00204272,
134,0,-0.00199166,
135,0,-0.00194186,
136,0,-0.00189332,
137,0,-0.00184599,
138,0,-0.00179984,
139,0,-0.00175484,
140,0,-0.00171097,
141,0,-0.00166819,
142,0,-0.00162649,
143,0,-0.00158583,
144,0,-0.00154618,
145,0,-0.00150753,
146,0,-0.00146984,
147,0,-0.00143309,
148,0,-0.00139727,
149,0,-0.00136233,
150,0,-0.00132828,
151,0,-0.00129507,
152,0,-0.00126269,
153,0,-0.00123112,
154,0,-0.00120035,
155,0,-0.00117034,
156,0,-0.00114108,
157,0,-0.00111255,
158,0,-0.00108474,
159,0,-0.00105762,
160,0,-0.00103118,
161,0,-0.0010054,
162,0,-0.000980265,
163,0,-0.000955759,
164,0,-0.000931865,
165,0,-0.000908568,
166,0,-0.000885854,
167,0,-0.000863708,
168,0,-0.000842115,
169,0,-0.000821062,
170,0,-0.000800535,
171,0,-0.000780522,
172,0,-0.000761009,
173,0,-0.000741984,
174,0,-0.000723434,
175,0,-0.000705348,
176,0,-0.000687715,
177,0,-0.000670522,
178,0,-0.000653759,
179,0,-0.000637415,
180,0,-0.000621479,
181,0,-0.000605942,
182,0,-0.000590794,
183,0,-0.000576024,
184,0,-0.000561623,
185,0,-0.000547583,
186,0,-0.000533893,
187,0,-0.000520546,
188,0,-0.000507532,
189,0,-0.000494844,
190,0,-0.000482473,
191,0,-0.000470411,
192,0,-0.000458651,
193,0,-0.000447185,
194,0,-0.000436005,
195,0,-0.000425105,
196,0,-0.000414477,
197,0,-0.000404115,
198,0,-0.000394012,
199,0,-0.000384162,
200,0,-0.000374558,
201,0,-0.000365194,
202,0,-0.000356064,
203,0,-0.000347163,
204,0,-0.000338484,
205,0,-0.000330021,
206,0,-0.000321771,
207,0,-0.000313727,
208,0,-0.000305883,
209,0,-0.000298236,
210,0,-0.000290781,
211,0,-0.000283511,
212,0,-0.000276423,
213,0,-0.000269513,
214,0,-0.000262775,
215,0,-0.000256205,
216,0,-0.0002498,
217,0,-0.000243555,
218,0,-0.000237466,
219,0,-0.00023153,
220,0,-0.000225741,
221,0,-0.000220098,
222,0,-0.000214595,
223,0,-0.000209231,
224,0,-0.000204,
225,0,-0.0001989,
226,0,-0.000193927,
227,0,-0.000189079,
228,0,-0.000184352,
229,0,-0.000179743,
230,0,-0.00017525,
231,0,-0.000170869,
232,0,-0.000166597,
233,0,-0.000162432,
234,0,-0.000158371,
235,0,-0.000154412,
236,0,-0.000150552,
237,0,-0.000146788,
238,0,-0.000143118,
239,0,-0.00013954,
240,0,-0.000136052,
241,0,-0.00013265,
242,0,-0.000129334,
243,0,-0.000126101,
244,0,-0.000122948,
245,0,-0.000119874,
246,0,-0.000116878,
247,0,-0.000113956,
248,0,-0.000111107,
249,0,-0.000108329,
250,0,-0.000105621,
251,0,-0.00010298,
252,0,-0.000100406,
253,0,-9.78957e-05,
254,0,-9.54483e-05,
255,0,-9.30621e-05,
256,0,-9.07355e-05,
257,0,-8.84672e-05,
258,0,-8.62555e-05,
259,0,-8.40991e-05,
260,0,-8.19966e-05,
261,0,-7.99467e-05,
262,0,-7.7948e-05,
263,0,-7.59993e-05,
264,0,-7.40993e-05,
265,0,-7.22469e-05,
266,0,-7.04407e-05,
267,0,-6.86797e-05,
268,0,-6.69627e-05,
269,0,-6.52886e-05,
270,0,-6.36564e-05,
271,0,-6.2065e-05,
272,0,-6.05134e-05,
273,0,-5.90005e-05,
274,0,-5.75255e-05,
275,0,-5.60874e-05,
276,0,-5.46852e-05,
277,0,-5.33181e-05,
278,0,-5.19851e-05,
279,0,-5.06855e-05,
280,0,-4.94184e-05,
281,0,-4.81829e-05,
282,0,-4.69783e-05,
283,0,-4.58039e-05,
284,0,-4.46588e-05,
285,0,-4.35423e-05,
286,0,-4.24537e-05,
287,0,-4.13924e-05,
288,0,-4.03576e-05,
289,0,-3.93486e-05,
290,0,-3.83649e-05,
291,0,-3.74058e-05,
292,0,-3.64707e-05,
293,0,-3.55589e-05,
294,0,-3.46699e-05,
295,0,-3.38032e-05,
296,0,-3.29581e-05,
297,0,-3.21341e-05,
298,0,-3.13308e-05,
299,0,-3.05475e-05,
300,0,-2.97838e-05,
301,0,-2.90392e-05,
302,0,-2.83133e-05,
303,0,-2.76054e-05,
304,0,-2.69153e-05,
305,0,-2.62424e-05,
306,0,-2.55863e-05,
307,0,-2.49467e-05,
308,0,-2.4323e-05,
309,0,-2.37149e-05,
310,0,-2.31221e-05,
311,0,-2.2544e-05,
312,0,-2.19804e-05,
313,0,-2.14309e-05,
314,0,-2.08951e-05,
315,0,-2.03728e-05,
316,0,-1.98634e-05,
317,0,-1.93668e-05,
318,0,-1.88827e-05,
319,0,-1.84106e-05,
320,0,-1.79503e-05,
321,0,-1.75016e-05,
322,0,-1.7064e-05,
323,0,-1.66374e-05,
324,0,-1.62215e-05,
325,0,-1.5816e-05,
326,0,-1.54206e-05,
327,0,-1.50351e-05,
328,0,-1.46592e-05,
329,0,-1.42927e-05,
330,0,-1.39354e-05,
331,0,-1.3587e-05,
332,0,-1.32473e-05,
333,0,-1.29161e-05,
334,0,-1.25932e-05,
335,0,-1.22784e-05,
336,0,-1.19714e-05,
337,0,-1.16722e-05,
338,0,-1.13804e-05,
339,0,-1.10958e-05,
340,0,-1.08185e-05,
341,0,-1.0548e-05,
342,0,-1.02843e-05,
343,0,-1.00272e-05,
344,0,-9.7765e-06,
345,0,-9.53209e-06,
346,0,-9.29379e-06,
347,0,-9.06144e-06,
348,0,-8.83491e-06,
349,0,-8.61404e-06,
350,0,-8.39869e-06,
351,0,-8.18872e-06,
352,0,-7.984e-06,
353,0,-7.7844e-06,
354,0,-7.58979e-06,
355,0,-7.40004e-06,
356,0,-7.21504e-06,
357,0,-7.03467e-06,
358,0,-6.8588e-06,
359,0,-6.68733e-06,
360,0,-6.52015e-06,
361,0,-6.35714e-06,
362,0,-6.19822e-06,
363,0,-6.04326e-06,
364,0,-5.89218e-06,
365,0,-5.74487e-06,
366,0,-5.60125e-06,
