
elapsed_time_ms,position_rad,velocity_rad_per_sec,home,photocell,
24,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
25,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
26,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
27,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
28,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
29,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
30,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
31,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
32,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
33,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
34,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
35,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
36,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
37,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
38,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
39,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
40,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
41,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
42,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
43,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
44,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
45,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
46,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
47,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
48,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
49,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
50,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
51,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
52,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
53,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
54,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
55,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
56,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
57,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
58,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
59,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
60,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
61,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
62,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
63,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
64,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
65,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
66,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
67,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
68,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
69,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
70,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
71,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
72,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
73,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
74,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
75,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
76,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
77,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
78,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
79,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
80,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
81,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
82,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
83,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
84,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
85,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
86,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
87,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
88,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
89,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
90,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
91,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
92,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
93,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
94,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
95,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
96,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
97,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
98,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
99,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
100,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
101,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
102,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
103,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
104,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
105,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
106,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
107,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
108,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
109,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
110,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
111,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
112,0x7ffee7aa79e4,0x7ffee7aa79e8,0x7ffee7aa79e0,0x7ffee7aa79e1,
